Realtor,Address,Rooms,Size,URL,Price,Retrieved
Ambassadör Mäkleri,Östgötagatan 25,32.0,1.5 Rum,https://www.ambassadormakleri.se/objekt/ostgotagatan-25-sodermalm-mosebacke/,4 200 000 kr,2024-04-07 13:08:49
Ambassadör Mäkleri,Ringvägen 155 A 5 tr,40.0,1 Rum,https://www.ambassadormakleri.se/objekt/ringvagen-155-a-5-tr-sodermalm/,3 750 000 kr,2024-04-07 13:08:49
Asira,Ringvägen - Skanstull,2 rok,54 kvm,https://www.asira.se/till-salu/OBJ20135_1927629633,0,2024-04-07 13:09:24
Bjurfors,Nackagatan 29,3 rum,73 kvm,https://www.bjurfors.se/sv/tillsalu/stockholm/stockholm/sodermalm-sofia/nackagatan-29/,43 kvm,2024-04-07 13:10:48
Bjurfors,Metargatan 7,2 rum,43 kvm,https://www.bjurfors.se/sv/tillsalu/stockholm/stockholm/sodermalm-sofia/metargatan-72/,3 950 000 kr,2024-04-07 13:10:48
Bjurfors,Lottens gata 4,3 rum,80 kvm,https://www.bjurfors.se/sv/tillsalu/stockholm/stockholm/sodermalm-sofia/lottens-gata-42/,61 kvm,2024-04-07 13:10:48
Bjurfors,Tegelviksgatan 64,2 rum,61 kvm,https://www.bjurfors.se/sv/tillsalu/stockholm/stockholm/sodermalm-sofia/tegelviksgatan-64/,36 kvm,2024-04-07 13:10:48
Bjurfors,Bohusgatan 27,1 rum,36 kvm,https://www.bjurfors.se/sv/tillsalu/stockholm/stockholm/sodermalm-sofia/bohusgatan-272/,3 295 000 kr,2024-04-07 13:10:48
Bjurfors,Färgargårdstorget 92,3 rum,88 kvm,https://www.bjurfors.se/sv/tillsalu/stockholm/stockholm/sodermalm-sofia/fargargardstorget-92/,31 kvm,2024-04-07 13:10:48
Bjurfors,Bohusgatan 35,1 rum,31 kvm,https://www.bjurfors.se/sv/tillsalu/stockholm/stockholm/sodermalm-sofia/bohusgatan-35/,2 495 000 kr,2024-04-07 13:10:48
